date,Open,High,Low,Close,Change,Volume,TTM P_E Ratio_NZZH_JSZB,Index Points_NZZH_JSZB,Percentile_NZZH_JSZB
2023-04-13,11997.42,12178.8,11995.94,12166.27,0.0199,4390495000,37.18,12087.96,71.19
2023-04-14,12117.91,12205.72,12026.55,12123.47,-0.0035,4167805400,37.3,12123.47,71.69
2023-04-17,12108.23,12159.02,12064.1,12157.72,0.0028,4424911400,37.3,12123.47,71.69
2023-04-18,12234.56,12245.43,12110.23,12153.41,-0.0004,4465089300,37.3,12123.47,71.69
2023-04-19,12063.68,12191.1,12060.17,12157.23,0.0003,4646673800,37.3,12123.47,71.69
2023-04-20,12039.08,12155.96,12011.95,12059.56,-0.008,4103380600,37.3,12123.47,71.69
2023-04-21,12046.03,12097.15,11986.82,12072.46,0.0011,4456902300,37.07,12072.46,70.93
2023-04-24,12053.47,12103.58,11960.31,12037.2,-0.0029,4550197700,37.07,12072.46,70.93
2023-04-25,11968.81,11990.46,11798.77,11799.16,-0.0198,4487211500,37.07,12072.46,70.93
2023-04-26,11913.23,11967.99,11833.07,11854.35,0.0047,4892913800,37.07,12072.46,70.93
2023-04-27,11972.15,12154.01,11950.92,12142.24,0.0243,4929900900,37.07,12072.46,70.93
2023-04-28,12117.54,12227.72,12082.57,12226.58,0.0069,4943885800,37.44,12226.58,72.12
2023-05-01,12210.05,12261.32,12181.08,12212.6,-0.0011,4861622600,37.44,12226.58,72.12
2023-05-02,12198.02,12206.58,12015.23,12080.51,-0.0108,4928724800,37.44,12226.58,72.12
2023-05-03,12097.04,12212.55,12022.46,12025.33,-0.0046,5302164900,37.44,12226.58,72.12
2023-05-04,11997.34,12033.15,11925.37,11966.4,-0.0049,4292053500,37.44,12226.58,72.12
2023-05-05,12073.03,12264.83,12065.72,12235.41,0.0225,4201019800,38.48,12235.41,75.51
2023-05-08,12231.68,12264.99,12178.26,12256.92,0.0018,3960170700,38.48,12235.41,75.51
2023-05-09,12195.78,12216.13,12174.06,12179.55,-0.0063,3897596500,38.48,12235.41,75.51
2023-05-10,12286.66,12337.69,12180.86,12306.44,0.0104,4483981500,38.48,12235.41,75.51
2023-05-11,12321.26,12347.38,12255.44,12328.51,0.0018,4105329300,38.48,12235.41,75.51
2023-05-12,12350.52,12364.65,12214.39,12284.74,-0.0036,3809601500,39.56,12284.74,77.46
2023-05-15,12301.17,12376.4,12263.35,12365.21,0.0066,3690150800,39.56,12284.74,77.46
2023-05-16,12327.05,12403.81,12324.52,12343.05,-0.0018,3763038100,39.56,12284.74,77.46
2023-05-17,12388.58,12514.07,12335.02,12500.57,0.0128,4138932000,39.56,12284.74,77.46
2023-05-18,12513.87,12698.5,12512.27,12688.84,0.0151,4062758900,39.56,12284.74,77.46
2023-05-19,12709.46,12731.73,12624.06,12657.9,-0.0024,3541627700,39.85,12657.9,78.47
2023-05-22,12664.44,12756.23,12655.26,12720.78,0.005,3967473400,39.85,12657.9,78.47
2023-05-23,12652.88,12709.74,12554.43,12560.25,-0.0126,3983152700,39.85,12657.9,78.47
2023-05-24,12481.9,12529.63,12415.85,12484.16,-0.0061,3705974600,39.85,12657.9,78.47
